well,eval_span,n_eval,floor,v2_base,v2_dz,v2_dz_g3s15,v2_dz_g3s25,v2_dz_g15s15,v2_spread2_dz,v2_spread8_dz,v2_N300_dz,seedens_best,beam_cons
ce8399b7,89.79999999999927,2590,70.47953785582503,14.41919064891805,83.81371183345694,83.73454063352962,82.453116656694,70.62642495915368,83.67094744439846,83.82259237615926,82.80315910924887,79.79987397490575,71.45481428536478
cf50c9d1,44.11999999999898,4843,31.333171588797278,26.75310567583701,26.830125975128173,26.899790450098862,25.999454280134916,26.8977862157388,26.895866998210245,26.838739388619317,26.89106121786003,26.88032281376478,31.06995602634258
d00e7eb9,16.57999999999811,5344,8.137899666638072,3.7756047311618754,22.778466962871455,27.84659161556202,21.30944666257595,21.284374187680534,12.7652186563465,25.46575613978654,13.787695651413427,18.537046231087484,4.0448076491241265
d011f41b,21.899999999997817,2851,6.480253466317729,10.450873305661519,3.6691870152818797,7.79438438985657,8.865829926630939,7.838308207388285,7.766650217278981,11.113538413565205,6.1051531069710165,4.010629961786121,7.970446312220756
d07aed8f,16.61999999999898,3438,11.316692126263822,14.723781037317115,10.08059997451697,4.919316065471012,4.895800491617896,11.846598991938368,4.680978543794122,14.519757932195674,4.6108579788585216,4.621557493122317,9.451634029880951
d085e611,36.44000000000051,5732,13.454504070391309,8.012889237629143,7.158049061484353,7.165202318935003,14.130366372937745,8.225577541908711,7.15340517458616,13.891486440723718,6.9546785390157675,7.535431344647216,13.710914631213136
d0a0e7b5,18.659999999999854,3959,11.94959540258224,23.400263527171347,6.580928002929818,7.108475069002146,6.0400870911623565,6.327906729655382,6.884334942356251,6.617051942549355,6.869576469906166,6.755524538124044,11.368312843304762
d0a43760,10.890000000001237,4016,4.4432969850785184,6.821647592851363,11.631112761069348,10.301420060501453,10.857187834805616,11.399743405447435,11.611080583573559,10.654978619040424,10.201853183247826,10.880331234557332,5.525906050079345
d0cb63ae,42.20000000000073,5007,21.3888852804688,12.401219968072043,7.474107427754474,7.460609923266202,9.394480683548812,13.497584072933845,7.276662122424165,9.876714811247743,8.648370444732066,7.880584996926315,22.7421039161568
d114d9c2,23.80999999999949,5506,9.468478765780139,5.651511419721944,11.813149025671592,5.672020333176809,5.66042014358986,6.8519402963496905,5.629503621291523,5.6839601945410525,5.619570931633789,5.746225954730544,5.728605351208276
d1457cc5,26.269999999998618,6163,13.65883189452973,5.784026848499731,28.28439241034202,28.26708472349155,28.28743373411069,28.283375000351974,13.069418540751576,28.300996346832232,28.290160819048126,28.26750712508577,13.102801782618432
d1ecf309,26.339999999998327,5741,14.968741671985077,10.824283914030984,4.059961817534929,4.131654193585136,3.8530929851160214,4.335655252419331,10.031914738488346,4.6650648548212486,3.7187580719960276,3.78729691918962,15.0704770138679
d1ee630d,17.1299999999992,5752,4.865452515594003,22.58226879748296,8.946263609533345,6.503275767527192,4.67324824350427,4.651914387381288,4.606967353366457,8.992144486704097,4.659174825536979,4.941636765343698,4.356047997333918
d217e0c5,17.919999999998254,4170,5.580896221745427,15.101590973952517,6.4031876366053,6.46226260144285,13.762947362089283,6.714516729185239,6.530615612855484,14.467459852398159,5.9527427497169345,6.321712304228578,6.0263439171018796
d24ff243,16.030000000000655,5195,6.1878835672133885,5.656352423059088,7.542515894038179,7.568030822063378,5.52189552329708,6.5953312607935475,2.323464523887715,7.0676900195795955,7.535376239674994,4.396063714447292,10.358867931020761
d273674e,18.68000000000029,4189,3.21441171650708,4.921299249688357,7.5238199095552085,7.518360736121381,2.478532394988029,2.4834453899376667,2.460926999272227,8.118045010370267,2.30988297036303,5.314305691542832,4.059351857499765
d2f3b1ab,47.81999999999971,5123,15.129404317259615,34.13243437577578,25.08119610220035,25.440606870594312,18.87260304376984,21.670483309412322,21.620897175992887,18.889600632605305,19.31810612417621,21.37480487767723,15.150910494592189
d3df146b,27.26000000000022,5294,13.528627483896324,4.3268855319650035,3.5768245708486344,3.9477626942651365,3.5936945293937637,3.815463701602738,12.671136084428394,6.190181903749435,3.744679223685384,3.9816557304355893,13.912920716500269
d40f61d5,17.269999999998618,4292,4.434235372241913,3.5989379687399317,3.675285189499894,3.6056314361850825,3.5486187590526503,3.649647900248429,3.6402407965463204,3.7264873472332978,3.585779272832003,3.6540407405125643,4.126468322928449
d41beaf2,32.72999999999956,4812,16.4300848663576,8.690248168956474,8.734805450385092,8.73345494263404,8.734125941215177,8.734560982206856,8.731942517663198,8.734084429473759,8.734189445314387,8.735433095905977,17.06585665419873
d463e527,31.590000000000146,5103,8.42072025831655,13.29017092040502,13.704975643715095,13.582886567817136,8.318208561741384,13.163034908491467,11.48243200408542,13.482250426158373,13.168893271611934,10.250850664635133,10.15385801981969
d4f60a28,18.779999999998836,4698,7.925620267199056,9.54326559459053,18.813062048892153,18.74039492548808,17.587163503017365,18.559057345634933,18.905366280675175,30.95346656281486,18.821557093004717,19.54016918896372,8.948314067398107
d50c649a,18.5,4780,5.468236134495164,4.79659855501072,5.97539245862714,9.877890167605786,9.800790679654634,9.966686927383002,9.783333793201107,3.126988761735287,9.914710940265998,5.955253173441019,5.721685788611302
d543916f,27.710000000000946,4585,10.104449591566999,9.548734610066308,15.131495019775604,15.002821742445528,15.032892414350767,15.082042451667634,13.977637118635178,15.156443002615536,15.032613920987453,14.833554255225252,8.701915805808559
d5df0ff5,24.610000000000582,4008,16.240247638607276,3.9221733118984687,2.931121489368017,3.9084608053009253,4.488753863258997,5.435627540083426,3.7176450398272487,5.331334457753472,4.450097382570738,3.805628101077405,15.57465208199101
d60430e6,24.280000000000655,3048,14.975347454988123,6.997780262605669,34.165710294735945,26.50536994270585,33.612277465518844,33.207512753847105,34.31791406160249,24.619948800268336,33.88843353941886,30.611751957772874,10.781047110762074
d63196fe,32.58999999999833,4293,18.81617478942141,6.320851872657005,5.5225049401877575,5.325182848159424,33.60318459320869,33.62270631894725,5.357403145216654,32.30784191622121,5.373689129487285,21.38820029715032,15.849866443307642
d6c320d9,15.630000000001019,5071,9.732679905066442,6.997767575955584,7.17532216597177,7.968090512873737,7.194478437386737,7.145207360124195,7.47118053128753,16.94156538315334,8.628455471673947,7.167783980714827,10.128906787580101
d6dd7330,36.95000000000073,5592,9.84214083482051,20.53232703619521,12.544118772743628,12.636733849095176,10.508310334887643,10.369390631760389,9.642465381947481,12.555144594503666,12.54377737109066,12.124611586165178,10.481891867277795
d7ba4f9d,15.229999999999563,5673,5.145693818006445,5.31079748957529,8.575252009726679,8.65517481105714,8.528245983975886,8.33727582995761,16.713300862970268,8.816328740480316,8.294736641170608,10.147176519157174,6.0640877029122535
d7eb0be8,56.31999999999971,5262,30.69696954959469,14.302928819488791,24.12620315860526,24.076709387489302,18.06659761198729,23.892995575941374,23.78320864847242,23.919074610385348,18.049637473374833,21.362437378685037,31.835983590258742
d84b621b,34.47999999999956,4195,28.387863888677735,6.197679710810054,3.5293670703912627,3.726579384575495,4.2309404035625615,3.95698488833288,4.309939756145665,3.939611033703191,4.232659989905068,3.7970952929435895,23.810391930533278
d90aa14c,48.81999999999971,8863,19.41080324928237,19.6447546801656,6.56578410291836,8.435268068328153,9.108157703799296,20.662896162118525,8.234367402796384,8.392248096241644,9.112655615105039,7.824393708167955,19.248714915688012
d924e971,86.57999999999993,3875,43.70253946618665,28.58122327059045,22.799955568525625,23.032300269409337,22.930831001343737,23.03502573096022,23.026152095071616,23.051098646041222,23.052962983685145,23.0126379767578,42.65947503873674
